,Alpha,Guarantee,Signaler1,Signaler2,Upm,Us1,Us2,Xreal
1994,0.6856675235469953,0.7994962116204655,-0.15,0.05,-0.01295697022852736,-0.06960557665056841,-0.004074101421180348,0.11382868807347013
1995,0.6856675235469953,0.8000624543022261,-0.15,0.15,-0.013086200182494043,-0.06990467940906328,-0.001267720955924811,0.11439493075523077
1996,0.7363337145868105,0.800284323862784,-0.05,0.05,-0.004089680426768229,-0.012984741354365581,-0.00019461949917087815,0.06395060927597351
1997,0.7363337145868105,0.8001415692341481,-0.05,0.15,-0.004071442314695766,-0.012952227779429528,-0.007429085920494477,0.06380785464733763
1998,0.7363337145868105,0.7998994918393268,-0.15,0.05,-0.004040608037716523,-0.04561034121347142,-0.00018403031246488945,0.06356577725251633
1999,0.7363337145868105,0.8002953582820993,-0.15,0.15,-0.004091091864203075,-0.04577958497278971,-0.007402598755616439,0.06396164369528878
2000,0.6800599185670647,0.6800599185670647,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
2001,0.6800599185670647,0.6800599185670647,-0.05,0.15,-0.0,-0.0025000000000000005,-0.0225,0.0
2002,0.6800599185670647,0.8002623756914301,-0.15,0.05,-0.0144486306987349,-0.07300936783604453,-0.004928384986298361,0.12020245712436539
2003,0.6800599185670647,0.8003861131456864,-0.15,0.15,-0.014478393101772331,-0.07307625147535886,-0.0008805347281858197,0.1203261945786217
2004,0.9472299148952086,0.9472299148952086,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
2005,0.9472299148952086,0.7999392650456053,-0.05,0.15,-0.021694535533118436,-0.00946547054815811,-0.08838173048799944,-0.14729064984960327
2006,0.9472299148952086,0.9472299148952086,-0.15,0.05,-0.0,-0.0225,-0.0025000000000000005,0.0
2007,0.9472299148952086,0.7999345569724017,-0.15,0.15,-0.021695922465607795,-7.3150887657233656e-06,-0.08838452984244988,-0.1472953579228069
2008,0.9094043011944744,0.9094043011944744,-0.05,0.05,-0.0,-0.0025000000000000005,-0.0025000000000000005,0.0
2009,0.9094043011944744,0.8004676427412791,-0.05,0.15,-0.01186719555494811,-0.0034735297096285876,-0.06704819309090669,-0.10893665845319522
2010,0.9094043011944744,0.9094043011944744,-0.15,0.05,-0.0,-0.0225,-0.0025000000000000005,0.0
2011,0.9094043011944744,0.7999927352246553,-0.15,0.15,-0.011970890767968066,-0.0016474209770223507,-0.06729436055891379,-0.10941156596981905
